Sample ID	Plate name	Plate position	type	species	Sex	DNA Extraction Method	DNA Extraction Date	DNA Aliquot Volume µl	DNA Concentration ng/µl	DNA Quantity ng	DNA 260/280	delivery to Integragen	Consanguineous family	Cell Line	Constitutional DNA	Pathology Type
1174064085_CRC0291LMX0A02201TUMD01000	ts01145537	A1	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/13	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064077_CRC0504LMX0A02001TUMD10000	ts01145537	A2	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/13	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064069_CRC0591LMX0A02001TUMD01000	ts01145537	A3	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/13	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064061_CRC1272LMX0A02002TUMD04000	ts01145537	A4	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/13	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064053_CRC1774LMX0A02001TUMD01000	ts01145537	A5	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/13	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064045_CRC0355LMX0A02002TUMD04000	ts01145537	A6	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/13	50	30	1500	2.1	2019/05/21	NO	NO	NO	Cancer
1174064037_CRC0106LMX0B02201TUMD04000	ts01145537	A7	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/13	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064029_CRC0123LMX0A02201TUMD01000	ts01145537	A8	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/13	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064021_CRC0118LMX0A02201TUMD01000	ts01145537	A9	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/13	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064084_CRC0327LMX0A02201TUMD09000	ts01145537	B1	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/13	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064076_CRC0484LMX0A02001TUMD05000	ts01145537	B2	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/13	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064068_CRC1360LMX0B02001TUMD01000	ts01145537	B3	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/13	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064060_CRC1331LMX0A02002TUMD04000	ts01145537	B4	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/13	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064052_CRC1889PRX0B01001TUMD01000	ts01145537	B5	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/13	50	30	1500	2.1	2019/05/21	NO	NO	NO	Cancer
1174064044_CRC1895LMX0B02003TUMD04000	ts01145537	B6	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/13	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064036_CRC0078LMX0A02202TUMD01000	ts01145537	B7	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/13	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064028_CRC0114LMX0B02201TUMD01000	ts01145537	B8	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/14	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064020_CRC0231LMX0A02201TUMD01000	ts01145537	B9	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/14	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064083_CRC0277LMX0A03202TUMD02000	ts01145537	C1	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/14	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064075_CRC1446LMX0A02001TUMD04000	ts01145537	C2	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/14	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064059_CRC1502LMX0A02001TUMD01000	ts01145537	C4	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/14	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064051_CRC1989LMX0A02001TUMD01000	ts01145537	C5	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/14	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064043_CRC2083PRX0A02001TUMD01000	ts01145537	C6	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/14	50	30	1500	1.7	2019/05/21	NO	NO	NO	Cancer
1174064035_CRC0079LMX0A02201TUMD01000	ts01145537	C7	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/14	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064027_CRC0031LMX0A02201TUMD04000	ts01145537	C8	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/14	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064019_CRC0169LMX0A02202TUMD01000	ts01145537	C9	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/14	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064082_CRC0322LMX0A02201TUMD09000	ts01145537	D1	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/14	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064074_CRC0542LMX0B02001TUMD05000	ts01145537	D2	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/14	50	30	1500	2.1	2019/05/21	NO	NO	NO	Cancer
1174064066_CRC0743LMX0A02001TUMD06000	ts01145537	D3	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/14	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064058_CRC1472LMX0A02001TUMD01000	ts01145537	D4	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/14	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064050_CRC2025LMX0B01001TUMD04000	ts01145537	D5	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/14	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064042_CRC2113LMX0B02001TUMD01000	ts01145537	D6	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/15	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064034_CRC0019LMX0A02202TUMD05000	ts01145537	D7	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/15	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064026_CRC0069LMX0A02201TUMD06000	ts01145537	D8	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/15	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064018_CRC0060LMX0B01001TUMD01000	ts01145537	D9	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/15	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064081_CRC0370LMX0B02001TUMD01000	ts01145537	E1	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/15	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064073_CRC0544LMX0A02001TUMD04000	ts01145537	E2	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/15	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064065_CRC1139LMX0A02001TUMD13000	ts01145537	E3	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/15	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064057_CRC1449LMX0A02001TUMD04000	ts01145537	E4	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/15	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064049_CRC1868LMX0B02001TUMD04000	ts01145537	E5	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/15	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064041_CRC2026LMX0A02001TUMD01000	ts01145537	E6	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/15	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064033_CRC0099LMX0A02201TUMD01000	ts01145537	E7	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/15	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064025_CRC0028LMX0A02201TUMD01000	ts01145537	E8	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/15	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064017_CRC0330LMX0A02204TUMD01000	ts01145537	E9	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/15	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064080_CRC0464LMX0A02001TUMD01000	ts01145537	F1	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/15	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064072_CRC0534LMX0A02001TUMD01000	ts01145537	F2	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/15	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064064_CRC1078LMX0A02002TUMD01000	ts01145537	F3	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/15	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064056_CRC1870LMX0A02002TUMD01000	ts01145537	F4	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/16	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064048_CRC2069PRX0B01001TUMD04000	ts01145537	F5	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/16	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064040_CRC2060LMX0A02001TUMD01000	ts01145537	F6	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/16	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064032_CRC0064LMX0A02201TUMD01000	ts01145537	F7	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/16	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064024_CRC0119LMX0A02201TUMD01000	ts01145537	F8	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/16	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064016_CRC1955PRX0A01001TUMD01000	ts01145537	F9	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/16	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064079_CRC0438LMX0A02001TUMD11000	ts01145537	G1	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/16	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064071_CRC0568LMX0A02002TUMD01000	ts01145537	G2	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/16	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064063_CRC0772LMX0A02001TUMD09000	ts01145537	G3	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/16	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064055_CRC2022LMX0A01001TUMD04000	ts01145537	G4	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/16	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064047_CRC1921LMX0A02004TUMD01000	ts01145537	G5	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/16	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064039_CRC0051LMX0A02201TUMD01000	ts01145537	G6	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/16	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064031_CRC0063LMX0A02201TUMD03000	ts01145537	G7	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/16	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064023_CRC0175LMX0A02202TUMD01000	ts01145537	G8	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/16	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064078_CRC0479LMX0A02001TUMD01000	ts01145537	H1	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/16	50	30	1500	2.1	2019/05/21	NO	NO	NO	Cancer
1174064070_CRC1390LMX0A02001TUMD01000	ts01145537	H2	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/16	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
1174064062_CRC0729LMX0A02001TUMD01000	ts01145537	H3	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/17	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064054_CRC2021PRX0B01001TUMD01000	ts01145537	H4	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/17	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064046_CRC1916LMX0A02001TUMD01000	ts01145537	H5	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/17	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064038_CRC0077LMX0A02201TUMD01000	ts01145537	H6	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/17	50	30	1500	1.9	2019/05/21	NO	NO	NO	Cancer
1174064030_CRC0022LMX0A02201TUMD01000	ts01145537	H7	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/17	50	30	1500	1.8	2019/05/21	NO	NO	NO	Cancer
1174064022_CRC0134LMX0A02201TUMD01000	ts01145537	H8	Mus	Mus musculus	Male	Maxwell RSC Blood DNA Kit	2019/05/17	50	30	1500	2	2019/05/21	NO	NO	NO	Cancer
